Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Deterministic processes vary during community assembly for ecologically dissimilar taxa,"Powell, Jeff R.; Karunaratne, Senani; Campbell, Colin D.; Yao, Huaiying; Robinson, Lucinda; Singh, Brajesh K.",,,,NATURE COMMUNICATIONS,OCT 2015,2015,6,,,,,,,8444,10.1038/ncomms9444,,,232,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,15,27,25,34,46,46,14
"Distribution and abundance of small insects and arachnids in relation to structural heterogeneity of grazed, indigenous grasslands","Dennis, P; Young, MR; Gordon, IJ",,,,ECOLOGICAL ENTOMOLOGY,AUG 1998,1998,23,3,,,,253,264,,10.1046/j.1365-2311.1998.00135.x,,,227,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,2,10,10,10,8,14,11,12,12,17,11,15,13,15,8,10,9,5,4,7,5,2
"Plant phenology, migration and geographical variation in body weight of a large herbivore: the effect of a variable topography","Mysterud, A; Langvatn, R; Yoccoz, NG; Stenseth, NC",,,,JOURNAL OF ANIMAL ECOLOGY,NOV 2001,2001,70,6,,,,915,923,,10.1046/j.0021-8790.2001.00559.x,,,226,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,7,14,4,12,13,14,8,12,14,15,17,11,11,15,13,9,10,7,6,2
Mapping snags and understory shrubs for a LiDAR-based assessment of wildlife habitat suitability,"Martinuzzi, Sebastian; Vierling, Lee A.; Gould, William A.; Falkowski, Michael J.; Evans, Jeffrey S.; Hudak, Andrew T.; Vierling, Kerri T.",,,,REMOTE SENSING OF ENVIRONMENT,DEC 15 2009,2009,113,12,,,,2533,2546,,10.1016/j.rse.2009.07.002,,,221,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,20,10,28,21,22,15,12,12,15,14,16,18,3
Can amphibians take the heat? Vulnerability to climate warming in subtropical and temperate larval amphibian communities,"Duarte, Helder; Tejedo, Miguel; Katzenberger, Marco; Marangoni, Federico; Baldo, Diego; Francisco Beltran, Juan; Andrea Marti, Dardo; Richter-Boix, Alex; Gonzalez-Voyer, Alejandro",,,,GLOBAL CHANGE BIOLOGY,FEB 2012,2012,18,2,,,,412,421,,10.1111/j.1365-2486.2011.02518.x,,,204,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11,19,19,7,17,18,22,18,27,20,9
Using lightweight unmanned aerial vehicles to monitor tropical forest recovery,"Zahawi, Rakan A.; Dandois, Jonathan P.; Holl, Karen D.; Nadwodny, Dana; Reid, J. Leighton; Ellis, Erle C.",,,,BIOLOGICAL CONSERVATION,JUN 2015,2015,186,,,,,287,295,,10.1016/j.biocon.2015.03.031,,,203,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,23,30,42,31,23,18,18,3
"Microhabitat use, giving-up densities and temporal activity as short- and long-term anti-predator behaviors in common voles","Jacob, J; Brown, JS",,,,OIKOS,OCT 2000,2000,91,1,,,,131,138,,10.1034/j.1600-0706.2000.910112.x,,,162,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,10,8,4,8,9,5,5,4,4,9,4,12,9,8,15,9,5,11,6,0
Capturing tree crown formation through implicit surface reconstruction using airborne lidar data,"Kato, Akira; Moskal, L. Monika; Schiess, Peter; Swanson, Mark E.; Calhoun, Donna; Stuetzle, Werner",,,,REMOTE SENSING OF ENVIRONMENT,JUN 15 2009,2009,113,6,,,,1148,1162,,10.1016/j.rse.2009.02.010,,,160,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,10,12,15,10,15,12,7,15,9,14,13,7,4
Lidar remote sensing variables predict breeding habitat of a Neotropical migrant bird,"Goetz, Scott J.; Steinberg, Daniel; Betts, Matthew G.; Holmes, Richard T.; Doran, Patrick J.; Dubayah, Ralph; Hofton, Michelle",,,,ECOLOGY,JUN 2010,2010,91,6,,,,1569,1576,,10.1890/09-1670.1,,,155,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,12,18,17,20,12,13,6,12,5,10,9,3
Relationships between insect diversity and habitat characteristics in plantation forests,"Humphrey, JW; Hawes, C; Peace, AJ; Ferris-Kaan, R; Jukes, MR",,,,FOREST ECOLOGY AND MANAGEMENT,JAN 4 1999,1999,113,1,,,,11,21,,10.1016/S0378-1127(98)00413-7,,,152,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,6,2,6,12,9,11,7,9,7,4,4,5,13,8,7,4,6,2,9,6,3,3,0
Urban amphibian assemblages as metacommunities,"Parris, Kirsten M.",,,,JOURNAL OF ANIMAL ECOLOGY,MAY 2006,2006,75,3,,,,757,764,,10.1111/j.1365-2656.2006.01096.x,,,144,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,5,10,8,9,7,9,6,9,8,9,8,17,10,8,5
The relationship between tree size and epiphyte species richness:: testing four different hypotheses,"Flores-Palacios, A; García-Franco, JG",,,,JOURNAL OF BIOGEOGRAPHY,FEB 2006,2006,33,2,,,,323,330,,10.1111/j.1365-2699.2005.01382.x,,,131,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,4,8,3,2,4,7,17,10,7,7,13,15,12,8,1
Trait-related responses to habitat fragmentation in Amazonian bats,"Farneda, Fabio Z.; Rocha, Ricardo; Lopez-Baucells, Adria; Groenenberg, Milou; Silva, Ines; Palmeirim, Jorge M.; Bobrowiec, Paulo E. D.; Meyer, Christoph F. J.",,,,JOURNAL OF APPLIED ECOLOGY,OCT 2015,2015,52,5,,,,1381,1391,,10.1111/1365-2664.12490,,,129,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,16,17,16,26,16,14,7
"The value of primary, secondary and plantation forests for fruit-feeding butterflies in the Brazilian Amazon","Barlow, Jos; Overal, William L.; Araujo, Ivanei S.; Gardner, Toby A.; Peres, Carlos A.",,,,JOURNAL OF APPLIED ECOLOGY,OCT 2007,2007,44,5,,,,1001,1012,,10.1111/j.1365-2664.2007.01347.x,,,129,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,8,7,8,1,9,4,8,16,8,11,8,14,5,6,3
Modeling the impact of 2D/3D urban indicators on the urban heat island over different seasons: A boosted regression tree approach,"Hu, Yunfeng; Dai, Zhaoxin; Guldmann, Jean-Michel",,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,JUL 15 2020,2020,266,,,,,,,110424,10.1016/j.jenvman.2020.110424,,,127,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,54,36,12
Ecological correlates of vulnerability to fragmentation in Neotropical bats,"Meyer, Christoph F. J.; Fruend, Jochen; Lizano, Willy Pineda; Kalko, Elisabeth K. V.",,,,JOURNAL OF APPLIED ECOLOGY,FEB 2008,2008,45,1,,,,381,391,,10.1111/j.1365-2664.2007.01389.x,,,124,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,8,10,5,8,6,9,12,9,8,8,8,6,8,1
"Recovery of tropical rainforest avifauna in relation to vegetation succession following shifting cultivation in Mizoram, north-east India","Raman, TRS; Rawat, GS; Johnsingh, AJT",,,,JOURNAL OF APPLIED ECOLOGY,APR 1998,1998,35,2,,,,214,231,,10.1046/j.1365-2664.1998.00297.x,,,120,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,8,5,5,10,7,7,5,2,6,1,4,1,11,8,4,7,5,5,2,6,1
Habitat structure and prey availability as predictors of the abundance and community organization of spiders in western Oregon forest canopies,"Halaj, J; Ross, DW; Moldenke, AR",,,,JOURNAL OF ARACHNOLOGY,1998,1998,26,2,,,,203,220,,,,,116,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,6,4,3,1,8,6,5,6,5,5,6,5,8,5,7,4,5,5,7,6,1
DYNAMICS IN SUBDIVIDED POPULATIONS OF NEOTROPICAL MIGRATORY BIRDS IN A FRAGMENTED TEMPERATE FOREST,"VILLARD, MA; MERRIAM, G; MAURER, BA",,,,ECOLOGY,JAN 1995,1995,76,1,,,,27,40,,10.2307/1940629,,,114,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,9,14,15,4,5,4,8,8,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1,0,0
An integrated UAV-borne lidar system for 3D habitat mapping in three forest ecosystems across China,"Guo, Qinghua; Su, Yanjun; Hu, Tianyu; Zhao, Xiaoqian; Wu, Fangfang; Li, Yumei; Liu, Jin; Chen, Linhai; Xu, Guangcai; Lin, Guanghui; Zheng, Yi; Lin, Yiqiong; Mi, Xiangcheng; Fei, Lin; Wang, Xugao",,,,INTERNATIONAL JOURNAL OF REMOTE SENSING,2017,2017,38,8-10,,,,2954,2972,,10.1080/01431161.2017.1285083,Conference on Small Unmanned Aerial Systems (sUAS) for Environmental Research,"JUN, 2016",109,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,23,17,25,19,11,2
Changes in habitat complexity negatively affect diverse gastropod assemblages in coralline algal turf,"Kelaher, BP",,,,OECOLOGIA,MAY 2003,2003,135,3,,,,431,441,,10.1007/s00442-003-1196-5,,,109,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,0,5,7,5,9,6,6,9,7,7,7,8,4,3,7,2
"Carabid beetle communities associated with coniferous plantations in Britain: the influence of site, ground vegetation and stand structure","Jukes, MR; Peace, AJ; Ferris, R",,,,FOREST ECOLOGY AND MANAGEMENT,JUL 1 2001,2001,148,1-3,,,,271,286,,10.1016/S0378-1127(00)00530-2,,,109,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,7,11,3,7,2,6,6,1,8,6,6,2,5,3,5,9,4,3,2,2
